customer_id,first_name,last_name,email,phone,city
1,Emily,Johnson,emily.johnson@example.com,555-1234,New York
2,Michael,Smith,michael.smith@example.com,555-5678,Los Angeles
3,Sophia,Williams,sophia.williams@example.com,555-8765,Chicago
4,James,Brown,james.brown@example.com,555-4321,Houston
5,Olivia,Jones,olivia.jones@example.com,555-2468,Phoenix
6,William,Miller,william.miller@example.com,555-1357,Philadelphia
7,Ava,Davis,ava.davis@example.com,555-9753,San Antonio
8,Benjamin,Garcia,benjamin.garcia@example.com,555-8642,San Diego
9,Charlotte,Martinez,charlotte.martinez@example.com,555-7531,Dallas
10,Elijah,Rodriguez,elijah.rodriguez@example.com,555-1597,San Jose
